workload,compaction_style,config,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal,fillrandom_latency_us,fillrandom_throughput_ops,fillrandom_throughput_bytes,overwrite_latency_us,overwrite_throughput_ops,overwrite_throughput_bytes,readwhilewriting_latency_us,readwhilewriting_throughput_ops,readwhilewriting_throughput_bytes,read_latency_us,read_throughput_ops,read_throughput_bytes
fillrandom,0,perf,100000,1641700000,141354496,823240788,0,0,171.493,5831.0,91.2,,,,,,,,,
overwrite,2,stable,100000,1641700000,0,856930432,1641700000,100000,,,,133.894,7468.0,116.8,,,,,,
fillrandom,0,stable,100000,1641700000,1063040346,823101149,1641700000,100000,224.795,4448.0,69.6,,,,,,,,,
fillrandom,2,perf,100000,1641700000,0,822797396,0,0,131.218,7620.0,119.2,,,,,,,,,
fillrandom,1,stable,100000,1641700000,1002593258,822519262,1641700000,100000,243.944,4099.0,64.1,,,,,,,,,
overwrite,1,stable,100000,1641700000,1001390441,822601511,1641700000,100000,,,,249.902,4001.0,62.6,,,,,,
overwrite,2,perf,100000,1641700000,0,822333524,0,0,,,,146.222,6838.0,107.0,,,,,,
readwhilewriting,2,stable,3419,56129723,0,0,56129723,3419,,,,,,,0.547,1826417.0,422.8,0.547,1826417.0,422.8
fillrandom,1,perf,100000,1641700000,303681536,858545886,0,0,269.884,3705.0,58.0,,,,,,,,,
readwhilewriting,1,stable,5113,83940121,0,0,83940121,5113,,,,,,,0.859,1162669.0,377.7,0.859,1162669.0,377.7
overwrite,1,perf,100000,1641700000,320281088,858279646,0,0,,,,264.573,3779.0,59.1,,,,,,
readwhilewriting,1,perf,8035,131910595,0,35846789,0,0,,,,,,,0.942,228398.0,152.5,0.942,228398.0,152.5
overwrite,0,stable,100000,1641700000,1085882756,822364925,1641700000,100000,,,,257.715,3880.0,60.7,,,,,,
fillrandom,2,stable,100000,1641700000,0,822837515,1641700000,100000,119.717,8352.0,130.6,,,,,,,,,
readwhilewriting,2,perf,8035,131910595,0,35756165,0,0,,,,,,,0.813,191398.0,126.0,0.813,191398.0,126.0
readwhilewriting,0,perf,8035,131910595,0,35947141,0,0,,,,,,,0.769,200824.0,130.5,0.769,200824.0,130.5
readwhilewriting,0,stable,3527,57902759,0,0,57902759,3527,,,,,,,0.545,1833046.0,429.2,0.545,1833046.0,429.2
overwrite,0,perf,100000,1641700000,168217600,822098004,0,0,,,,201.758,4956.0,77.5,,,,,,
