workload,compaction_style,value_size,max_bytes_for_level_base,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal
overwrite,0,4096,67108864,1000000,4128000000,3624640394,2264460227,4128000000,1000000
overwrite,0,4096,268435456,1000000,4128000000,3926898292,2301346485,4128000000,1000000
fillrandom,0,16384,536870912,1000000,16417000000,36052092660,8996302229,16417000000,1000000
overwrite,0,4096,536870912,1000000,4128000000,4394162603,2301497226,4128000000,1000000
overwrite,0,1024,536870912,1000000,1056000000,578140401,554188512,1056000000,1000000
fillrandom,0,4096,268435456,1000000,4128000000,4003270522,2301632341,4128000000,1000000
fillrandom,0,1024,67108864,1000000,1056000000,657101850,554147546,1056000000,1000000
fillrandom,0,1024,536870912,1000000,1056000000,588671433,554175641,1056000000,1000000
fillrandom,0,1024,268435456,1000000,1056000000,612860902,554235912,1056000000,1000000
fillrandom,0,16384,67108864,1000000,16417000000,27054478941,8996874388,16417000000,1000000
fillrandom,0,4096,536870912,1000000,4128000000,4390431402,2301548443,4128000000,1000000
overwrite,0,16384,536870912,1000000,16417000000,35711830951,8997355246,16417000000,1000000
overwrite,0,1024,67108864,1000000,1056000000,616212692,554147906,1056000000,1000000
fillrandom,0,16384,268435456,1000000,16417000000,29512061896,8997147451,16417000000,1000000
overwrite,0,16384,67108864,1000000,16417000000,28758806652,9033100267,16417000000,1000000
overwrite,0,1024,268435456,1000000,1056000000,586670980,554101456,1056000000,1000000
fillrandom,0,4096,67108864,1000000,4128000000,3625923549,2264390085,4128000000,1000000
overwrite,0,16384,268435456,1000000,16417000000,28906731543,8996900767,16417000000,1000000
