workload,compaction_style,config,rocksdb.number.keys.written,rocksdb.bytes.written,rocksdb.compact.write.bytes,rocksdb.flush.write.bytes,rocksdb.wal.bytes,rocksdb.write.wal,rocksdb.write.raw.input.bytes,WAF,latency,throughput_ops,throughput_bytes
fillrandom,leveled,perf,100000,1641700000,198908928,822552660,0,0,,0.6221974709142961,227.39,4397.0,68.8
overwrite,fifo,stable,100000,1641700000,0,822842964,1641700000,100000,,0.5012139635743437,168.393,5938.0,92.9
fillrandom,leveled,stable,100000,1641700000,197796352,822624340,1641700000,100000,,0.6215634354632393,220.143,4542.0,71.0
fillrandom,fifo,perf,100000,1641700000,0,821753428,0,0,,0.5005503002984711,140.064,7139.0,111.7
fillrandom,universal,stable,100000,1641700000,328594432,858172126,1641700000,100000,,0.7228888091612353,317.959,3145.0,49.2
overwrite,universal,stable,100000,1641700000,314506240,858797790,1641700000,100000,,0.7146884509959188,277.565,3602.0,56.3
overwrite,fifo,perf,100000,1641700000,0,822334036,0,0,,0.500903962965219,144.786,6906.0,108.0
readwhilewriting,fifo,stable,3416,56080472,0,0,56080472,3416,,0.0,1.096,3645510.0,866.0
fillrandom,universal,perf,100000,1641700000,334981632,858725086,0,0,,0.7271162319546811,319.701,3127.0,48.9
readwhilewriting,universal,stable,3625,59511625,0,0,59511625,3625,,0.0,1.12,3564808.0,889.8
overwrite,universal,perf,100000,1641700000,357729792,858651358,0,0,,0.7409277882682586,304.172,3287.0,51.4
readwhilewriting,universal,perf,8035,131910595,0,35656325,0,0,,0.27030675587506825,1.634,382100.0,242.6
overwrite,leveled,stable,100000,1641700000,190411776,822870100,1641700000,100000,,0.6172150063958092,243.89,4100.0,64.1
fillrandom,fifo,stable,100000,1641700000,0,822660180,1641700000,100000,,0.5011026253274046,153.428,6517.0,101.9
readwhilewriting,fifo,perf,8035,131910595,0,35801733,0,0,,0.271409078247278,1.626,396884.0,254.6
readwhilewriting,leveled,perf,8035,131910595,0,35746949,0,0,,0.2709937666492976,1.572,348016.0,222.2
readwhilewriting,leveled,stable,3629,59577293,0,0,59577293,3629,,0.0,1.144,3489122.0,861.6
overwrite,leveled,perf,100000,1641700000,221537792,822506068,0,0,,0.6359528902966437,254.548,3928.0,61.4
