trial,hot_compaction,cold_compaction,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG
1,universal,universal,universal,215.646,88822,543645,811590816,3768128779,16407028699,1911178,10362339328,7283687,5877595,3778,1907400,0,0,0,2.960139,23.382093,43.149073,825.0,1911178,13803129,7.222314718984835,8.622239,14.985785,44.959654,3166763.0,1000000,213881233,213.881233
2,universal,universal,level,309.711,88818,543256,811597848,7295480689,16407029052,1911182,10355900416,8060048,10189216,3839,1907343,0,0,0,3.17428,20.949255,40.943649,811.0,1911182,13627992,7.130661548716972,8.507494,14.442705,38.848749,3797310.0,1000000,307948584,307.948584
2,universal,universal,universal,252.733,88592,543566,811652440,3886721728,16407028784,1911408,10357276672,7404430,6005913,3789,1907619,0,0,0,2.966045,22.257402,40.158528,815.0,1911408,13552759,7.090458447385383,8.421768,14.199999,37.564776,3734166.0,1000000,251054057,251.054057
2,universal,level,level,267.389,88948,543385,811595301,7041300012,16407028895,1911052,10360143872,8234987,9903499,3763,1907289,0,0,0,2.92709,21.216688,42.219532,826.0,1911052,13818065,7.2306064931775795,8.414508,14.064281,33.004418,3503366.0,1000000,265712666,265.712666
2,universal,level,universal,273.964,89077,543107,811540036,3873078173,16407028477,1910923,10357702656,7387633,5977240,3792,1907131,0,0,0,2.911349,21.930222,41.236863,780.0,1910923,13387882,7.005976692938439,8.489377,14.323994,32.665415,3458730.0,1000000,272312499,272.312499
3,universal,level,level,303.68,88748,543769,811622172,7209420559,16407028746,1911252,10363158528,7548154,10073283,3778,1907474,0,0,0,2.922985,20.382899,38.106754,803.0,1911252,13111027,6.859915385307641,8.455859,14.541652,35.754415,3650556.0,1000000,302098691,302.098691
1,universal,level,universal,435.653,88794,543040,811629101,4180097864,16407029090,1911206,10351968256,7242636,6382662,3783,1907423,0,0,0,2.935484,23.821793,46.287061,772.0,1911206,13903951,7.274961987352488,8.750211,16.880403,46.817891,7401714.0,1000000,433860850,433.86085
3,universal,universal,universal,196.579,88893,543244,811621772,3779265860,16407028558,1911107,10356932608,7296345,5892069,3761,1907346,0,0,0,2.913691,23.833191,42.717479,814.0,1911107,13628706,7.13131499178225,8.425454,14.077325,32.014338,2135283.0,1000000,194934750,194.93475
3,universal,level,universal,254.691,88746,543708,811725984,3938471118,16407028018,1911254,10362126336,7208989,6086631,3806,1907448,0,0,0,2.926725,23.577656,45.413071,824.0,1911254,13753392,7.1960042987483614,8.430955,14.073417,31.423313,3721982.0,1000000,253108289,253.108289
1,universal,universal,level,334.687,89125,542997,808394069,6990263479,16407029204,1910875,10356686848,8019272,9834256,7764,1903111,0,0,0,3.102289,20.996437,43.860118,954.0,1910875,13624950,7.130215215542618,8.466371,14.63971,41.330087,4920635.0,1000000,332933497,332.933497
1,universal,level,level,397.695,88749,543330,811666418,7362225970,16407028996,1911251,10355982336,8803338,10285442,3864,1907387,0,0,0,3.441581,21.259153,43.437208,1793.0,1911251,14210125,7.434986299549353,8.399673,14.408674,41.100683,7307905.0,1000000,396087233,396.087233
3,universal,universal,level,209.257,88952,543109,811727635,6340016753,16407028842,1911048,10355687424,7471410,9077497,3784,1907264,0,0,0,2.9766,21.261079,44.797542,1792.0,1911048,13704745,7.17132432047756,8.447819,14.14322,30.475255,2894922.0,1000000,207706694,207.706694
